Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type,pos_change,is_top3,is_top10,pos_bucket,url_category,service,priority
different types of advertising,4,4,390,50.0,8.3,https://www.designrush.com/agency/ad-agencies/trends/types-of-advertising-strategies,17.0,0.01,141.0,0.04,2610000000.0,"[17,59,39,39,39,32,32,39,48,32,39,26]",2025-08-27,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,3237.0000000000005
ad strategies,5,5,480,38.0,6.2,https://www.designrush.com/agency/ad-agencies/trends/types-of-advertising-strategies,11.0,0.01,68.0,0.11,690000000.0,"[26,39,72,21,39,59,39,48,100,72,4,26]",2025-09-02,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums",navigational,Organic,0,false,true,04-10,trends,advertising,2976.0
tv advert companies,4,4,90,50.0,32.5,https://www.designrush.com/agency/ad-agencies/tv-ads,3.0,0.0,97.0,0.18,1380000000.0,"[100,64,35,50,50,64,64,78,28,64,100,78]",2025-08-30,"Image pack, Sitelinks, Related searches, AI overview",informational,Organic,0,false,true,04-10,other,advertising,2925.0
different types of advertisements,9,9,320,51.0,8.3,https://www.designrush.com/agency/ad-agencies/trends/types-of-advertising-strategies,2.0,0.0,16.0,0.04,258000000.0,"[24,16,13,30,55,10,8,13,30,45,24,8]",2025-08-16,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,2656.0
makeup advertisements,6,6,590,31.0,3.99,https://www.designrush.com/agency/ad-agencies/trends/makeup-ads,11.0,0.01,43.0,0.02,711000000.0,"[5,6,45,100,36,5,8,36,36,81,55,4]",2025-09-05,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",informational,Organic,0,false,true,04-10,trends,advertising,2354.1
how much does it cost for a tv ad,10,10,210,25.0,10.94,https://www.designrush.com/agency/ad-agencies/tv-ads/trends/tv-advertising-cost,3.0,0.0,32.0,0.56,1320000000.0,"[44,35,44,100,35,35,28,18,18,23,44,28]",2025-08-25,"Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,2297.4
promotion companies,4,4,390,55.0,5.48,https://www.designrush.com/agency/ad-agencies/promotional-marketing,25.0,0.02,137.0,0.75,553000000.0,"[59,21,48,32,32,39,26,32,39,39,32,39]",2025-09-07,"Local pack, Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,other,advertising,2137.2000000000003
tv marketing agency,5,5,70,65.0,27.45,https://www.designrush.com/agency/ad-agencies/tv-ads,1.0,0.0,27.0,0.07,550000000.0,"[11,17,41,29,29,11,41,52,100,82,100,52]",2025-08-29,"Local pack, Image pack, Sitelinks, Video Carousel, Related searches",commercial,Organic,0,false,true,04-10,other,advertising,1921.5
web ad companies,4,4,170,70.0,10.59,https://www.designrush.com/agency/ad-agencies/trends/top-advertising-agency-websites,11.0,0.01,116.0,0.01,10170000000.0,"[0,0,0,0,0,0,0,0,0,0,100,0]",2025-08-27,"Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,trends,advertising,1800.3
florida advertising,6,6,140,30.0,12.81,https://www.designrush.com/agency/ad-agencies/florida,4.0,0.0,51.0,0.04,761000000.0,"[15,43,100,43,81,15,21,15,21,34,34,43]",2025-08-27,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,geo,advertising,1793.4
advertising and types,8,8,590,46.0,2.98,https://www.designrush.com/agency/ad-agencies/trends/types-of-advertising-strategies,7.0,0.0,20.0,0.03,2440000000.0,"[6,6,8,10,10,8,10,81,100,100,81,55]",2025-09-01,"Sitelinks, Image, Video Carousel, People also ask, Related searches",informational,Organic,0,false,true,04-10,trends,advertising,1758.2
houston advertising,7,7,140,32.0,12.15,https://www.designrush.com/agency/ad-agencies/texas/houston,3.0,0.0,36.0,0.08,656000000.0,"[53,53,43,35,17,23,23,35,23,66,28,35]",2025-09-11,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1701.0
average cost of tv advertising,10,10,140,25.0,11.6,https://www.designrush.com/agency/ad-agencies/tv-ads/trends/tv-advertising-cost,2.0,0.0,23.0,0.18,149000000.0,"[64,64,82,100,82,100,100,82,64,100,82,82]",2025-08-27,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,1624.0
advertising agencies in new jersey,4,4,390,51.0,4.08,https://www.designrush.com/agency/ad-agencies/new-jersey,11.0,0.01,44.0,0.14,86400000.0,"[100,81,35,28,23,15,66,81,100,81,35,66]",2025-08-27,"Local pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1591.2
good advertising websites,4,4,90,37.0,16.92,https://www.designrush.com/agency/ad-agencies/trends/top-advertising-agency-websites,2.0,0.0,33.0,0.26,3420000000.0,"[64,41,52,41,29,52,41,41,64,64,52,41]",2025-08-24,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,1522.8000000000002
tampa ad agencies,5,5,390,58.0,3.71,https://www.designrush.com/agency/ad-agencies/florida/tampa,9.0,0.01,33.0,0.37,59500000.0,"[81,81,54,44,19,23,54,66,66,54,66,36]",2025-08-25,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1446.9
promotional marketing companies,4,4,140,70.0,9.96,https://www.designrush.com/agency/ad-agencies/promotional-marketing,4.0,0.0,39.0,0.22,202000000.0,"[52,52,52,52,52,66,80,80,66,100,52,42]",2025-09-05,"Local pack, Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,other,advertising,1394.4
houston advertising company,9,9,210,46.0,6.26,https://www.designrush.com/agency/ad-agencies/texas/houston,2.0,0.0,12.0,0.42,398000000.0,"[0,0,0,0,0,1,1,1,1,100,62,1]",2025-09-08,"Local pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1314.6
radio ad agency,7,7,110,51.0,11.86,https://www.designrush.com/agency/ad-agencies/radio/us,2.0,0.0,23.0,0.01,57400000.0,"[11,19,19,15,19,15,26,42,100,65,80,100]",2025-09-06,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,other,advertising,1304.6
ways of advertising,6,6,110,46.0,11.64,https://www.designrush.com/agency/ad-agencies/trends/types-of-advertising-strategies,2.0,0.0,23.0,0.37,1680000000.0,"[21,3,28,28,34,53,21,43,100,53,34,9]",2025-08-14,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic,0,false,true,04-10,trends,advertising,1280.4
ads about makeup,8,8,320,21.0,3.99,https://www.designrush.com/agency/ad-agencies/trends/makeup-ads,7.0,0.0,27.0,0.02,195000000.0,"[13,6,24,100,10,13,24,10,8,6,76,16]",2025-08-26,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums",informational,Organic,0,false,true,04-10,trends,advertising,1276.8000000000002
cosmetics adverts,9,9,320,23.0,3.99,https://www.designrush.com/agency/ad-agencies/trends/makeup-ads,2.0,0.0,7.0,0.02,21700000.0,"[36,44,81,100,44,0,0,36,15,29,29,54]",2025-08-18,"Knowledge panel, Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",informational,Organic,0,false,true,04-10,trends,advertising,1276.8000000000002
advertising agencies in utah,4,4,210,39.0,5.99,https://www.designrush.com/agency/ad-agencies/utah,6.0,0.0,35.0,0.18,65000000.0,"[36,36,2,6,9,15,36,44,66,54,54,15]",2025-09-11,"Local pack, Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1257.9
advertising firms minneapolis,9,9,320,50.0,3.75,https://www.designrush.com/agency/ad-agencies/minnesota/minneapolis,4.0,0.0,15.0,0.31,6240000.0,"[19,23,54,81,19,23,44,19,36,66,81,66]",2025-08-27,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1200.0
advertising companies minneapolis,10,10,320,45.0,3.75,https://www.designrush.com/agency/ad-agencies/minnesota/minneapolis,2.0,0.0,7.0,0.31,51400000.0,"[15,19,15,19,15,19,23,23,100,54,81,19]",2025-08-17,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1200.0
advertising firms tampa,5,5,320,59.0,3.71,https://www.designrush.com/agency/ad-agencies/florida/tampa,7.0,0.0,25.0,0.37,15100000.0,"[67,54,29,19,23,19,19,100,23,44,67,2]",2025-09-10,"Local pack, Image pack, Sitelinks, People also ask, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1187.2
advertising agency tampa,8,8,320,58.0,3.71,https://www.designrush.com/agency/ad-agencies/florida/tampa,6.0,0.0,22.0,0.37,91200000.0,"[81,81,23,54,15,66,18,66,100,44,66,23]",2025-08-26,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1187.2
ad agency tulsa,9,9,210,31.0,5.63,https://www.designrush.com/agency/ad-agencies/oklahoma/tulsa,2.0,0.0,11.0,0.18,4920000.0,"[35,53,28,66,66,66,66,82,28,28,100,53]",2025-08-19,"Local pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1182.3
advertising agencies in nashville tn,7,7,320,23.0,3.4,https://www.designrush.com/agency/ad-agencies/tennessee/nashville,7.0,0.0,23.0,0.36,2050000.0,"[23,66,66,66,54,81,81,44,15,29,36,23]",2025-08-17,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1088.0
advertising agencies in dc,10,10,320,12.0,3.27,https://www.designrush.com/agency/ad-agencies/washington-dc,2.0,0.0,6.0,0.38,153000000.0,"[36,36,19,54,36,36,44,44,66,44,44,29]",2025-08-18,"Local pack, Image pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1046.4
advertising for makeup,10,10,260,16.0,3.99,https://www.designrush.com/agency/ad-agencies/trends/makeup-ads,1.0,0.0,3.0,0.02,736000000.0,"[0,0,0,23,2,2,44,81,81,100,29,19]",2025-08-30,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums, AI overview",commercial,Organic,0,false,true,04-10,trends,advertising,1037.4
advertising firms sacramento,7,7,210,38.0,4.84,https://www.designrush.com/agency/ad-agencies/california/sacramento,4.0,0.0,19.0,0.11,28400000.0,"[28,18,15,54,15,35,23,15,11,15,100,81]",2025-08-24,"Local pack, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,1016.4
ad agency orlando,9,9,210,66.0,4.75,https://www.designrush.com/agency/ad-agencies/florida/orlando,2.0,0.0,9.0,0.13,18900000.0,"[43,28,5,28,43,100,35,43,100,100,43,43]",2025-09-05,"Local pack, Sitelinks, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,997.5
advertising agency orlando,6,6,210,65.0,4.75,https://www.designrush.com/agency/ad-agencies/florida/orlando,5.0,0.0,23.0,0.13,79800000.0,"[6,6,5,6,6,3,36,6,10,36,10,13]",2025-08-15,"Local pack, Image pack, Sitelinks, Image, Related searches",commercial,Organic,0,false,true,04-10,geo,advertising,997.5
promotions agency,4,4,170,50.0,5.75,https://www.designrush.com/agency/ad-agencies/promotional-marketing,2.0,0.0,11.0,0.23,415000000.0,"[29,36,29,15,12,29,15,15,36,23,29,19]",2025-09-02,"Local pack, Image pack, Sitelinks, People also ask, Related searches, AI overview",commercial,Organic,0,false,true,04-10,other,advertising,977.5
promo marketing companies,5,5,90,64.0,9.96,https://www.designrush.com/agency/ad-agencies/promotional-marketing,2.0,0.0,19.0,0.22,184000000.0,"[100,100,77,100,77,77,100,100,100,100,100,77]",2025-09-05,"Local pack, Image pack, Sitelinks, Video, Related searches",commercial,Organic,0,false,true,04-10,other,advertising,896.4000000000001
